rank,title,aritist
1,그건 아마 우리의 잘못은 아닐 거야,백예린
2,당신과는 천천히,장범준
3,달라달라,ITZY(있지)
4,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH)
5,옥탑방,엔플라잉(N.Flying)
6,멍청이(twit),화사(Hwa Sa)
7,주저하는 연인들을 위해,잔나비
8,벌써 12시,청하
9,이 노래가 클럽에서 나온다면,우디 (Woody)
10,고고베베 (gogobebe),마마무(Mamamoo)
11,야간비행 (魔女の花),백예린
12,노래방에서,장범준
13,넘쳐흘러,M.C THE MAX
14,신청곡 (Feat. SUGA of BTS),이소라
15,너를 만나,폴킴
16,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
17,봄 (Feat. 산다라박),박봄
18,SHE'S FINE,헤이즈 (Heize)
19,180도,벤
20,일산으로,장범준
21,YES or YES,TWICE(트와이스)
22,띵 (Prod. By 기리보이),백예린
23,내가 날 모르는 것처럼 (Feat. 카더가든),Jvcki Wai
24,SOLO,제니 (JENNIE)
25,신용재,하은(라코스테남)
26,그때가 좋았어,케이시(Kassy)
27,열애중,벤
28,고백,양다일
29,그모습 그대로,장범준
30,그러니까 (Feat. Colde),헤이즈 (Heize)
31,MILLIONS,WINNER
32,초록빛,폴킴
33,Way Back Home,숀(SHAUN)
34,밤편지,아이유(IU)
35,삐삐,아이유(IU)
36,엄마 용돈 좀 보내주세요,장범준
37,지나오다,닐로(Nilo)
38,너도 그냥 날 놓아주면 돼,윤건
39,지켜줄게,백예린
40,Dear my blue,백예린
41,Senorita,(여자)아이들
42,첫눈처럼 너에게 가겠다,에일리
43,Dance The Night Away,TWICE(트와이스)
44,Our love is great,백예린
45,IDOL,방탄소년단
46,해야 (Sunrise),여자친구(GFRIEND)
47,가을 타나 봐,바이브
48,하루도 그대를 사랑하지 않은 적이 없었다,임창정
49,이밤,장범준
50,봄날,방탄소년단
